claim_id,prior_claim_id,disposition,active_for_rewrite,replacement_claim_ids,manuscript_section,component,claim_type,support_level,approval_status,proposed_claim,source_path,source_sha256,source_selector,source_row_number,source_column,exact_value,display_value,rounding_places,display_scale,evidence_anchor,evidence_scope,mandatory_qualifier,prohibited_overclaim
C011,C011,retained,True,,Data availability,phase4b,narrative,direct_exact,approved,"No raw dataset is currently approved for redistribution; public materials must remain limited to authorized compact evidence, hashes, schemas, and qualified upstream locators.",reports/research_log/major_revision_v3/phase4b_release_readiness/DATA_PROVENANCE_LICENSE_REGISTER.csv,9e5880bfcd44e5168ec373f3663a75cba53d0587f15d5b778933929953bcc5a4,{},,,,,,,blocked_no_authoritative_license,"Four-dataset provenance, licence, citation, and redistribution register.",Each dataset retains its distinct unresolved source-to-byte and rights-chain status.,"Do not infer authenticity, ownership, unrestricted licensing, or redistribution rights from public presence."
C012,C012,retained,True,,Declarations — ethics and consent,phase4b,narrative,procedural_boundary,approved,Institutional review and informed-consent wording remain pending an institution-approved determination and may not be inferred from synthetic-data descriptions alone.,reports/research_log/major_revision_v3/phase4b_release_readiness/ETHICS_DECLARATIONS_REGISTER.csv,c95a298194f42d1f77f8dfd9fbac5ba4a5f5dccfab607eb51f805acb43fc9f79,{},,,,,,,pending_institutional_determination,"Eight-field author, ethics, availability, conflict, and AI-use declaration register.","Institution, review unit, determination, reference, date, and consent wording remain missing.","Do not invent ethics approval, exemption, waiver, or not-applicable wording."
C013,C013,superseded,False,R2N012,Approval gate,phase5a,narrative,procedural_boundary,approved,The final v3 claim set requires an explicit digest-specific user decision before any manuscript or bibliography edit is authorized.,reports/research_log/major_revision_v3/phase4b_release_readiness/BLOCKER_REGISTER.csv,0d42241dc670f7c2773bc97830dcd8ec3aa4cf3396ad650d491bcdca87241954,{},,,,,,,The final v3 claim matrix is not frozen/approved,Open manuscript blocker carried forward from Phase 4B.,A generic instruction to continue does not identify or approve the frozen digest.,"Do not edit the manuscript, bibliography, or reviewer response before explicit approval."
C101,C101,retained,True,,Results — ordinal benchmark,phase1b,numerical,direct_exact,approved,"Cumulative-threshold XGBoost achieved the highest full-OOF macro-F1, 0.6255.",reports/research_log/major_revision_v3/phase1b_ordinal_benchmark/aggregate_metrics.csv,b7dcd0fa01f40c6d11450bb4afd32b1e768f7b301ca804674d8ae589f5a58edf,"{""dataset_key"":""inx_primary"",""metric"":""macro_f1"",""model_name"":""cumulative_threshold_xgboost""}",4,value,0.6254589405107375,0.6255,4,1,,Full exactly-once OOF INX sample under the frozen P3 protocol.,Highest applies only to macro-F1 among the nine evaluated systems.,Do not generalize this ranking to every metric or future population.
C102,C102,retained,True,,Results — ordinal benchmark,phase1b,numerical,direct_exact,approved,"Cumulative-threshold XGBoost achieved the highest full-OOF balanced accuracy, 0.6745.",reports/research_log/major_revision_v3/phase1b_ordinal_benchmark/aggregate_metrics.csv,b7dcd0fa01f40c6d11450bb4afd32b1e768f7b301ca804674d8ae589f5a58edf,"{""dataset_key"":""inx_primary"",""metric"":""balanced_accuracy"",""model_name"":""cumulative_threshold_xgboost""}",3,value,0.6745231336221923,0.6745,4,1,,Full exactly-once OOF INX sample under the frozen P3 protocol.,Highest applies only to balanced accuracy among the nine evaluated systems.,Do not claim universal or statistically significant superiority.
C103,C103,retained,True,,Results — ordinal benchmark,phase1b,numerical,direct_exact,approved,"Random Forest had the highest full-OOF quadratic weighted kappa, 0.6317.",reports/research_log/major_revision_v3/phase1b_ordinal_benchmark/aggregate_metrics.csv,b7dcd0fa01f40c6d11450bb4afd32b1e768f7b301ca804674d8ae589f5a58edf,"{""dataset_key"":""inx_primary"",""metric"":""quadratic_weighted_kappa"",""model_name"":""random_forest""}",108,value,0.6316782057286063,0.6317,4,1,,Full exactly-once OOF INX sample under the frozen P3 protocol.,"The ordering criterion is QWK, not macro-F1 or probability quality.",Do not call Random Forest the universally best model.
C104,C104,retained,True,,Results — ordinal benchmark,phase1b,numerical,direct_exact,approved,"Random Forest had the lowest full-OOF ordinal MAE, 0.1583.",reports/research_log/major_revision_v3/phase1b_ordinal_benchmark/aggregate_metrics.csv,b7dcd0fa01f40c6d11450bb4afd32b1e768f7b301ca804674d8ae589f5a58edf,"{""dataset_key"":""inx_primary"",""metric"":""ordinal_mae"",""model_name"":""random_forest""}",106,value,0.15833333333333333,0.1583,4,1,,Full exactly-once OOF INX sample under the frozen P3 protocol.,"Lower is better, and this result does not determine other metric rankings.",Do not equate low ordinal MAE with complete error safety.
C105,C105,retained,True,,Results — ordinal benchmark,phase1b,numerical,direct_exact,approved,"LightGBM had the lowest normalized ranked probability score, 0.0804.",reports/research_log/major_revision_v3/phase1b_ordinal_benchmark/aggregate_metrics.csv,b7dcd0fa01f40c6d11450bb4afd32b1e768f7b301ca804674d8ae589f5a58edf,"{""dataset_key"":""inx_primary"",""metric"":""ranked_probability_score"",""model_name"":""lightgbm""}",33,value,0.08040618857328805,0.0804,4,1,,Raw full-OOF probabilities from nine systems under the P3 protocol.,Lower is better and the claim applies to normalized RPS only.,Do not infer overall model superiority from one probability metric.
C106,C106,retained,True,,Results — ordinal benchmark,phase1b,numerical,direct_exact,approved,"Nominal XGBoost had the lowest raw log loss, 0.5515.",reports/research_log/major_revision_v3/phase1b_ordinal_benchmark/aggregate_metrics.csv,b7dcd0fa01f40c6d11450bb4afd32b1e768f7b301ca804674d8ae589f5a58edf,"{""dataset_key"":""inx_primary"",""metric"":""nll_log_loss"",""model_name"":""xgboost""}",141,value,0.5514626110693018,0.5515,4,1,,Raw full-OOF probabilities from nine systems under the P3 protocol.,Lower is better and the comparison precedes the predeclared sigmoid evaluation.,Do not present raw log-loss leadership as universal superiority.
C201,C201,retained,True,,Results — training variability,phase1c,numerical,direct_descriptive,approved,"Across five repeated nested-CV designs, XGBoost mean macro-F1 was 0.6288.",reports/research_log/major_revision_v3/phase1c_repeated_nested_cv/variability_summary.csv,f50bbd1bb89e479ccdeb3e15538ea5f4a5c2eeabad6ef3d6d40d5439384c2acf,"{""metric"":""macro_f1"",""model_name"":""xgboost""}",35,mean,0.6287774897827731,0.6288,4,1,,Mean over five prespecified 5×5 nested-CV repetitions.,The mean is descriptive across five repetitions and is not a confidence estimate.,Do not claim stable universal leadership or population-level certainty.
C202,C202,retained,True,,Results — training variability,phase1c,numerical,direct_descriptive,approved,"Across five repeated nested-CV designs, LightGBM mean macro-F1 was 0.6249.",reports/research_log/major_revision_v3/phase1c_repeated_nested_cv/variability_summary.csv,f50bbd1bb89e479ccdeb3e15538ea5f4a5c2eeabad6ef3d6d40d5439384c2acf,"{""metric"":""macro_f1"",""model_name"":""lightgbm""}",7,mean,0.6249382473038569,0.6249,4,1,,Mean over five prespecified 5×5 nested-CV repetitions.,LightGBM and XGBoost split repetition-level macro-F1 wins.,Do not infer a significant difference from the two descriptive means.
C203,C203,retained,True,,Results — training variability,phase1c,numerical,direct_descriptive,approved,Random Forest ranked first for QWK in 5 of 5 repetitions.,reports/research_log/major_revision_v3/phase1c_repeated_nested_cv/model_rank_summary.csv,dfd3c314b88ee8bb9113d11189ad8c1ae1e9538f9fa385f526dd261ae2eedfe1,"{""metric"":""quadratic_weighted_kappa"",""model_name"":""random_forest""}",24,winner_count,5,5,0,1,,Winner count over five prespecified nested-CV repetitions.,The stable winner statement applies only to QWK under this design.,Do not infer universal superiority or prospective stability.
C204,C204,retained,True,,Results — training variability,phase1c,numerical,direct_descriptive,approved,Cumulative-threshold XGBoost ranked first for balanced accuracy in 4 of 5 repetitions.,reports/research_log/major_revision_v3/phase1c_repeated_nested_cv/model_rank_summary.csv,dfd3c314b88ee8bb9113d11189ad8c1ae1e9538f9fa385f526dd261ae2eedfe1,"{""metric"":""balanced_accuracy"",""model_name"":""cumulative_threshold_xgboost""}",2,winner_count,4,4,0,1,,Winner count over five prespecified nested-CV repetitions.,One repetition was won by another model and no inferential test is attached.,Do not describe the ordering as invariant or statistically proven.
C205,C205,retained,True,,Results — training variability,phase1c,numerical,direct_descriptive,approved,Mean pairwise macro-F1 rank Spearman correlation across repetition pairs was 0.926.,reports/research_log/major_revision_v3/phase1c_repeated_nested_cv/ordering_stability.csv,5b36d6eb639441408a5997a60aaddb5cfc3a9b8986b4e3a1be6b6eaf50c4ca22,"{""metric"":""macro_f1""}",3,mean_pairwise_rank_spearman,0.9257142857142858,0.926,3,1,,Ten pairwise rank comparisons across five repetitions and six tuned models.,Correlations are descriptive and repetition pairs are not independent samples.,Do not label the ordering perfectly stable or confidence-bounded.
C301,C301,retained,True,,Results — information-policy sensitivity,phase1d,numerical,direct_descriptive,approved,"For P2, independent retuning changed macro-F1 by +0.0185 relative to the fixed schedule.",reports/research_log/major_revision_v3/phase1d_policy_retuning/headline_policy_comparison.csv,3ea78efa8b710759c1db2fa53e782b0144951ac927f3c86f0e18871b3c3e95e4,"{""policy_id"":""P2""}",4,raw_difference_macro_f1,0.018519931362211306,0.0185,4,1,,Full-OOF retuned-minus-fixed point difference for the P2 policy.,This point difference has no confidence interval and combines policy-specific selection with access.,"Do not call the difference causal, significant, or deployment-valid."
C302,C302,retained,True,,Results — information-policy sensitivity,phase1d,numerical,direct_descriptive,approved,"For P5, independent retuning changed QWK by -0.0344 despite improving some other metrics.",reports/research_log/major_revision_v3/phase1d_policy_retuning/headline_policy_comparison.csv,3ea78efa8b710759c1db2fa53e782b0144951ac927f3c86f0e18871b3c3e95e4,"{""policy_id"":""P5""}",7,raw_difference_quadratic_weighted_kappa,-0.03439211893198002,-0.0344,4,1,,Full-OOF retuned-minus-fixed point difference for the P5 policy.,P5 removes declared strong proxies but cannot prove absence of residual proxies.,"Do not claim monotonic benefit, fairness proof, or causal proxy removal."
C303,C303,retained,True,,Results — information-policy sensitivity,phase1d,numerical,direct_descriptive,approved,The retuned P0 information-rich diagnostic reached macro-F1 0.8943.,reports/research_log/major_revision_v3/phase1d_policy_retuning/headline_policy_comparison.csv,3ea78efa8b710759c1db2fa53e782b0144951ac927f3c86f0e18871b3c3e95e4,"{""policy_id"":""P0""}",2,retuned_macro_f1,0.8942738716737378,0.8943,4,1,,Retuned P0 full-OOF point estimate with outcome-proximal/timing-risk fields retained.,P0 is a diagnostic upper bound and is explicitly never deployable.,Do not present P0 as prospective performance or an admissible HR policy.
C401,C401,retained,True,,Results — explanation diagnostics,phase2a,numerical,direct_descriptive,approved,The mean top-5 Jaccard agreement across model-seed pairs was 1.0000.,reports/research_log/major_revision_v3/phase2a_shap_stability_faithfulness/stability_summary.csv,4329e361ae3d006474efa724b4ef4b82d361ce4a3b3fb667f0b7169e0fbc0496,"{""stability_type"":""model_seed"",""top_k"":""5""}",5,jaccard_mean,1.0,1.0000,4,1,,Fifteen pairwise comparisons across fixed model seeds.,Pairs share data and protocol components and are not independent observations.,"Do not call SHAP perfectly robust, causal, or confidence-bounded."
C402,C402,retained,True,,Results — explanation diagnostics,phase2a,numerical,direct_descriptive,approved,Mean all-feature Spearman agreement across outer-training resample pairs was 0.9847.,reports/research_log/major_revision_v3/phase2a_shap_stability_faithfulness/stability_summary.csv,4329e361ae3d006474efa724b4ef4b82d361ce4a3b3fb667f0b7169e0fbc0496,"{""stability_type"":""outer_train_resample"",""top_k"":""5""}",8,spearman_mean,0.9846616541353382,0.9847,4,1,,Ten pairwise comparisons among five stratified 80% outer-training resamples.,The same Spearman summary is repeated across top-k rows and is descriptive.,Do not infer sampling independence or explanation validity from rank agreement alone.
C403,C403,retained,True,,Results — explanation diagnostics,phase2a,numerical,direct_descriptive,approved,Deleting the top-ranked feature produced a mean probability-drop contrast of 0.2676 versus random deletion.,reports/research_log/major_revision_v3/phase2a_shap_stability_faithfulness/faithfulness_contrasts.csv,c8fa92829a3c519eeee7718e42c8ab13b5380d780ded9ab3019ef3175d5c06a3,"{""deleted_feature_count"":""1"",""metric"":""mean_probability_drop""}",2,guided_minus_random_mean,0.2675683999606986,0.2676,4,1,,SHAP-guided minus 20 random-repetition mean deletion contrast.,The contrast is descriptive and median/mode masking can be out of distribution.,Do not interpret the perturbation as a causal or actionable employee effect.
C501,C501,retained,True,,Results — calibration,phase2b,numerical,direct_exact,approved,Cross-fitted sigmoid calibration reduced log loss to 0.4556.,reports/research_log/major_revision_v3/phase2b_calibration_diagnostics/method_comparison.csv,bac8344ec08129d92a38ffe5c968da576b57fe8bac48aa0f7b50e052e4f3bbb3,"{""comparison_id"":""sigmoid_minus_raw"",""metric"":""nll_log_loss""}",2,sigmoid_value,0.4556457723677246,0.4556,4,1,,"Predeclared outer-training-only sigmoid probabilities on 1,200 exactly-once OOF cases.",The method was predeclared and outer-test outcomes were evaluation-only.,Do not claim prospective calibration or objective outcome probabilities.
C502,C502,retained,True,,Results — calibration,phase2b,numerical,direct_exact,approved,"Top-label ECE changed by +0.0044 after sigmoid calibration, indicating a worse point estimate on that metric.",reports/research_log/major_revision_v3/phase2b_calibration_diagnostics/method_comparison.csv,bac8344ec08129d92a38ffe5c968da576b57fe8bac48aa0f7b50e052e4f3bbb3,"{""comparison_id"":""sigmoid_minus_raw"",""metric"":""top_label_ece""}",4,raw_difference_sigmoid_minus_raw,0.004391238853665921,0.0044,4,1,,Sigmoid-minus-raw top-label ECE difference using ten fixed bins.,The paired interval spans zero and ECE is bin-dependent.,Do not state that every calibration metric improved.
C601,C601,retained,True,,Results — subgroup and proxy diagnostics,phase2c,numerical,direct_descriptive,approved,Removing JobRole and refitting changed the argmax prediction for 10.75% of cases.,reports/research_log/major_revision_v3/phase2c_subgroup_proxy_use/proxy_prediction_change_by_department.csv,79ba56a192c8baccd5098ea37bfc1ab3e7d64f02276fe710df458df068d5963f,"{""department"":""ALL"",""scope"":""overall""}",2,prediction_change_rate,0.1075,10.75,2,100,,Exact paired OOF comparison of P3 and P3 refitted without JobRole.,The comparison combines feature removal with refitting and is not the broader P5 policy.,Do not describe the change rate as a causal JobRole effect.
C602,C602,retained,True,,Results — subgroup and proxy diagnostics,phase2c,numerical,direct_descriptive,approved,The proxy-reduced-minus-primary macro-F1 difference was -0.0330.,reports/research_log/major_revision_v3/phase2c_subgroup_proxy_use/proxy_prediction_change_by_department.csv,79ba56a192c8baccd5098ea37bfc1ab3e7d64f02276fe710df458df068d5963f,"{""department"":""ALL"",""scope"":""overall""}",2,delta_macro_f1,-0.032993574605103104,-0.0330,4,1,,"Exact paired OOF P3-minus-JobRole refit comparison on 1,200 cases.",The point difference is descriptive and combines removal with model refitting.,"Do not infer discrimination, causality, or significance."
C603,C603,retained,True,,Results — subgroup and proxy diagnostics,phase2c,numerical,direct_descriptive,approved,Marginal within-fold JobRole permutation produced mean total variation 0.1024.,reports/research_log/major_revision_v3/phase2c_subgroup_proxy_use/jobrole_permutation_summary.csv,8d0af59191a90fe7fd78b14f6055b3f06fbda2b74ac74016b4c78b96d016d5ca,"{""scheme"":""marginal_within_outer_test_fold""}",2,mean_total_variation_mean,0.10241861385666895,0.1024,4,1,,Mean over 20 prespecified outcome-blind marginal shuffles.,Marginal shuffling can create out-of-distribution feature combinations.,Do not treat the perturbation as a causal or inferential effect.
C604,C604,retained,True,,Results — subgroup and proxy diagnostics,phase2c,numerical,direct_descriptive,approved,Department-conditional within-fold JobRole permutation produced mean total variation 0.0529.,reports/research_log/major_revision_v3/phase2c_subgroup_proxy_use/jobrole_permutation_summary.csv,8d0af59191a90fe7fd78b14f6055b3f06fbda2b74ac74016b4c78b96d016d5ca,"{""scheme"":""department_conditional_within_outer_test_fold_and_department""}",3,mean_total_variation_mean,0.052912334200205934,0.0529,4,1,,Mean over 20 prespecified outcome-blind department-conditional shuffles.,Conditioning only on department is not a fully conditional permutation test.,Do not call the difference a causal JobRole contribution.
C605,C605,retained,True,,Results — subgroup and proxy diagnostics,phase2c,numerical,direct_descriptive,approved,Department reconstruction accuracy with JobRole in the feature space was 0.9792.,reports/research_log/major_revision_v3/phase2c_subgroup_proxy_use/department_reconstructability_metrics.csv,e838ea0f0e447df3abc6e6b10af5147db2b65ba955e8eaf92952bb54a6a82b4c,"{""metric"":""accuracy"",""system_id"":""no_salary_hike_no_attrition_no_department""}",2,point_estimate,0.9791666666666666,0.9792,4,1,,Separate nominal multiclass proxy reconstruction diagnostic.,"This measures information in the feature space, not use by the performance model.","Do not infer discrimination, causality, or performance-model dependence."
C606,C606,retained,True,,Results — subgroup and proxy diagnostics,phase2c,numerical,direct_descriptive,approved,Department reconstruction accuracy without JobRole was 0.2908.,reports/research_log/major_revision_v3/phase2c_subgroup_proxy_use/department_reconstructability_metrics.csv,e838ea0f0e447df3abc6e6b10af5147db2b65ba955e8eaf92952bb54a6a82b4c,"{""metric"":""accuracy"",""system_id"":""no_salary_hike_no_attrition_no_department_no_job_role""}",5,point_estimate,0.2908333333333333,0.2908,4,1,,Separate nominal multiclass proxy reconstruction diagnostic without JobRole.,"This is a proxy-risk contrast, not a fairness or causal test.",Do not infer absence of residual department information or legal compliance.
C701,C701,retained,True,,Results — independent replication sensitivity,phase3a,numerical,direct_descriptive,approved,"Under the retained three-class HRDataset_v14 mapping, raw XGBoost mean macro-F1 was 0.6531.",reports/research_log/major_revision_v3/phase3a_hrdataset_sensitivity/variability_summary.csv,1725d5161c414f21fe353fe01cf685cffc59ef5dde1b5253e0bf494b47659cd2,"{""formulation_id"":""primary_three_class"",""metric"":""macro_f1"",""system"":""xgboost_raw""}",35,mean,0.6530863072598907,0.6531,4,1,,Mean across five prespecified 5×5 nested-CV repetitions on 311 records.,The value is mapping- and dataset-specific and the repetition range is not a confidence interval.,Do not call the result locked external validation or direct INX comparability.
C702,C702,retained,True,,Results — independent replication sensitivity,phase3a,numerical,direct_descriptive,approved,"Under the retained three-class mapping, sigmoid-calibrated XGBoost mean QWK was 0.6044.",reports/research_log/major_revision_v3/phase3a_hrdataset_sensitivity/variability_summary.csv,1725d5161c414f21fe353fe01cf685cffc59ef5dde1b5253e0bf494b47659cd2,"{""formulation_id"":""primary_three_class"",""metric"":""quadratic_weighted_kappa"",""system"":""xgboost_sigmoid""}",49,mean,0.6043709651015794,0.6044,4,1,,Mean across five prespecified 5×5 nested-CV repetitions on 311 records.,Sigmoid calibration lowered macro-F1 even while improving this ordinal criterion.,Do not claim that calibration uniformly improved HRDataset_v14 performance.
C703,C703,retained,True,,Methods — independent replication target,phase3a,numerical,direct_exact,approved,The retained mapped HRDataset_v14 class 2 contains 31 records.,reports/research_log/major_revision_v3/phase3b_data_quality/target_distribution.csv,4845da4f51bdd6651e7a54c1aaa279cbe0af1d0dd5fc8d0175bcdaf1cc0a2502,"{""dataset_key"":""hrdataset_v14"",""target_label"":""2"",""target_view"":""canonical_mapped""}",11,count,31,31,0,1,,Governed three-class target mapping combining PIP and Needs Improvement.,The mapping is a study estimand and does not establish equivalence with INX labels.,Do not treat mapped classes as validated construct-equivalent outcomes.
C801,C801,retained,True,,Methods and limitations — data quality,phase3b,numerical,direct_exact,approved,The audited INX table contains 1200 rows.,reports/research_log/major_revision_v3/phase3b_data_quality/dataset_summary.csv,df7d21a23be7cad851161d821f7ac376c30d5c6e5c8783c45fdee227de148d0b,"{""dataset_key"":""inx_primary""}",2,raw_row_count,1200,1200,0,1,,Exact pinned INX raw-table dimensions in the aggregate quality audit.,"Row count does not establish representativeness, authenticity, or licensing.",Do not infer population coverage or source authority from table size.
C802,C802,retained,True,,Methods and limitations — data quality,phase3b,numerical,direct_exact,approved,HRDataset_v14 contains 215 effective missing cells under the declared audit rule.,reports/research_log/major_revision_v3/phase3b_data_quality/dataset_summary.csv,df7d21a23be7cad851161d821f7ac376c30d5c6e5c8783c45fdee227de148d0b,"{""dataset_key"":""hrdataset_v14""}",3,effective_missing_cell_count,215,215,0,1,,Whitespace-aware aggregate missingness audit on the pinned 311×36 raw table.,Most missing termination dates are structurally aligned with non-terminated records.,Do not state that all missingness is error or silently impute source values.
C803,C803,retained,True,,Methods and limitations — data quality,phase3b,numerical,direct_exact,approved,A total of 3 declared HRDataset_v14 data-quality rules had findings.,reports/research_log/major_revision_v3/phase3b_data_quality/dataset_summary.csv,df7d21a23be7cad851161d821f7ac376c30d5c6e5c8783c45fdee227de148d0b,"{""dataset_key"":""hrdataset_v14""}",3,rules_with_findings,3,3,0,1,,Twenty-nine predeclared HRDataset_v14 audit rules.,The count applies to declared rules and is not a complete error census.,Do not claim the dataset is otherwise error-free or invalid.
C804,C804,retained,True,,Methods and limitations — data quality,phase3b,numerical,direct_exact,approved,Those three HRDataset_v14 rules account for 6 recorded anomaly occurrences.,reports/research_log/major_revision_v3/phase3b_data_quality/dataset_summary.csv,df7d21a23be7cad851161d821f7ac376c30d5c6e5c8783c45fdee227de148d0b,"{""dataset_key"":""hrdataset_v14""}",3,summed_rule_anomaly_occurrences,6,6,0,1,,Two occurrences in each of three declared consistency/temporal rules.,Occurrences can concern distinct rules and were retained without silent source repair.,Do not imply six unique erroneous employees without row-level overlap analysis.
R2N001,,new,True,,Results — selection-objective sensitivity,round2_selection,narrative,bounded_synthesis,approved,"Selection sensitivity is reported through separate leader changes, full-ordering changes, selected-candidate changes, and metric-specific effect magnitudes; it is not collapsed into one binary material-dependence verdict.",reports/research_log/major_revision_round2/SELECTION_OBJECTIVE_SENSITIVITY.md,4c4e712aa1deb49345b02d29a8df8129045f4ac89e9037ceeaf3744adca4801f,,,,,,,,"These are separate descriptive facts, not one binary material-dependence classification.",Prespecified macro-F1 versus QWK selection under the common P3 folds and candidate registries.,Each diagnostic remains separate and descriptive.,Do not convert the diagnostics into a single binary claim or treat a lower-order permutation alone as material dependence.
