claim_id,prior_claim_id,disposition,component,proposed_claim,exact_value,display_value,evidence_scope,mandatory_qualifier,prohibited_overclaim,source_path,source_sha256,source_selector,source_row_number,source_column
C205,C205,retained,phase1c,Mean pairwise macro-F1 rank Spearman correlation across repetition pairs was 0.926.,0.9257142857142858,0.926,Ten pairwise rank comparisons across five repetitions and six tuned models.,Correlations are descriptive and repetition pairs are not independent samples.,Do not label the ordering perfectly stable or confidence-bounded.,reports/research_log/major_revision_v3/phase1c_repeated_nested_cv/ordering_stability.csv,5b36d6eb639441408a5997a60aaddb5cfc3a9b8986b4e3a1be6b6eaf50c4ca22,"{""metric"":""macro_f1""}",3,mean_pairwise_rank_spearman
C301,C301,retained,phase1d,"For P2, independent retuning changed macro-F1 by +0.0185 relative to the fixed schedule.",0.018519931362211306,0.0185,Full-OOF retuned-minus-fixed point difference for the P2 policy.,This point difference has no confidence interval and combines policy-specific selection with access.,"Do not call the difference causal, significant, or deployment-valid.",reports/research_log/major_revision_v3/phase1d_policy_retuning/headline_policy_comparison.csv,3ea78efa8b710759c1db2fa53e782b0144951ac927f3c86f0e18871b3c3e95e4,"{""policy_id"":""P2""}",4,raw_difference_macro_f1
C302,C302,retained,phase1d,"For P5, independent retuning changed QWK by -0.0344 despite improving some other metrics.",-0.03439211893198002,-0.0344,Full-OOF retuned-minus-fixed point difference for the P5 policy.,P5 removes declared strong proxies but cannot prove absence of residual proxies.,"Do not claim monotonic benefit, fairness proof, or causal proxy removal.",reports/research_log/major_revision_v3/phase1d_policy_retuning/headline_policy_comparison.csv,3ea78efa8b710759c1db2fa53e782b0144951ac927f3c86f0e18871b3c3e95e4,"{""policy_id"":""P5""}",7,raw_difference_quadratic_weighted_kappa
C303,C303,retained,phase1d,The retuned P0 information-rich diagnostic reached macro-F1 0.8943.,0.8942738716737378,0.8943,Retuned P0 full-OOF point estimate with outcome-proximal/timing-risk fields retained.,P0 is a diagnostic upper bound and is explicitly never deployable.,Do not present P0 as prospective performance or an admissible HR policy.,reports/research_log/major_revision_v3/phase1d_policy_retuning/headline_policy_comparison.csv,3ea78efa8b710759c1db2fa53e782b0144951ac927f3c86f0e18871b3c3e95e4,"{""policy_id"":""P0""}",2,retuned_macro_f1
C401,C401,retained,phase2a,The mean top-5 Jaccard agreement across model-seed pairs was 1.0000.,1.0,1.0000,Fifteen pairwise comparisons across fixed model seeds.,Pairs share data and protocol components and are not independent observations.,"Do not call SHAP perfectly robust, causal, or confidence-bounded.",reports/research_log/major_revision_v3/phase2a_shap_stability_faithfulness/stability_summary.csv,4329e361ae3d006474efa724b4ef4b82d361ce4a3b3fb667f0b7169e0fbc0496,"{""stability_type"":""model_seed"",""top_k"":""5""}",5,jaccard_mean
C402,C402,retained,phase2a,Mean all-feature Spearman agreement across outer-training resample pairs was 0.9847.,0.9846616541353382,0.9847,Ten pairwise comparisons among five stratified 80% outer-training resamples.,The same Spearman summary is repeated across top-k rows and is descriptive.,Do not infer sampling independence or explanation validity from rank agreement alone.,reports/research_log/major_revision_v3/phase2a_shap_stability_faithfulness/stability_summary.csv,4329e361ae3d006474efa724b4ef4b82d361ce4a3b3fb667f0b7169e0fbc0496,"{""stability_type"":""outer_train_resample"",""top_k"":""5""}",8,spearman_mean
C403,C403,retained,phase2a,Deleting the top-ranked feature produced a mean probability-drop contrast of 0.2676 versus random deletion.,0.2675683999606986,0.2676,SHAP-guided minus 20 random-repetition mean deletion contrast.,The contrast is descriptive and median/mode masking can be out of distribution.,Do not interpret the perturbation as a causal or actionable employee effect.,reports/research_log/major_revision_v3/phase2a_shap_stability_faithfulness/faithfulness_contrasts.csv,c8fa92829a3c519eeee7718e42c8ab13b5380d780ded9ab3019ef3175d5c06a3,"{""deleted_feature_count"":""1"",""metric"":""mean_probability_drop""}",2,guided_minus_random_mean
C501,C501,retained,phase2b,Cross-fitted sigmoid calibration reduced log loss to 0.4556.,0.4556457723677246,0.4556,"Predeclared outer-training-only sigmoid probabilities on 1,200 exactly-once OOF cases.",The method was predeclared and outer-test outcomes were evaluation-only.,Do not claim prospective calibration or objective outcome probabilities.,reports/research_log/major_revision_v3/phase2b_calibration_diagnostics/method_comparison.csv,bac8344ec08129d92a38ffe5c968da576b57fe8bac48aa0f7b50e052e4f3bbb3,"{""comparison_id"":""sigmoid_minus_raw"",""metric"":""nll_log_loss""}",2,sigmoid_value
C502,C502,retained,phase2b,"Top-label ECE changed by +0.0044 after sigmoid calibration, indicating a worse point estimate on that metric.",0.004391238853665921,0.0044,Sigmoid-minus-raw top-label ECE difference using ten fixed bins.,The paired interval spans zero and ECE is bin-dependent.,Do not state that every calibration metric improved.,reports/research_log/major_revision_v3/phase2b_calibration_diagnostics/method_comparison.csv,bac8344ec08129d92a38ffe5c968da576b57fe8bac48aa0f7b50e052e4f3bbb3,"{""comparison_id"":""sigmoid_minus_raw"",""metric"":""top_label_ece""}",4,raw_difference_sigmoid_minus_raw
C601,C601,retained,phase2c,Removing JobRole and refitting changed the argmax prediction for 10.75% of cases.,0.1075,10.75,Exact paired OOF comparison of P3 and P3 refitted without JobRole.,The comparison combines feature removal with refitting and is not the broader P5 policy.,Do not describe the change rate as a causal JobRole effect.,reports/research_log/major_revision_v3/phase2c_subgroup_proxy_use/proxy_prediction_change_by_department.csv,79ba56a192c8baccd5098ea37bfc1ab3e7d64f02276fe710df458df068d5963f,"{""department"":""ALL"",""scope"":""overall""}",2,prediction_change_rate
C602,C602,retained,phase2c,The proxy-reduced-minus-primary macro-F1 difference was -0.0330.,-0.032993574605103104,-0.0330,"Exact paired OOF P3-minus-JobRole refit comparison on 1,200 cases.",The point difference is descriptive and combines removal with model refitting.,"Do not infer discrimination, causality, or significance.",reports/research_log/major_revision_v3/phase2c_subgroup_proxy_use/proxy_prediction_change_by_department.csv,79ba56a192c8baccd5098ea37bfc1ab3e7d64f02276fe710df458df068d5963f,"{""department"":""ALL"",""scope"":""overall""}",2,delta_macro_f1
C603,C603,retained,phase2c,Marginal within-fold JobRole permutation produced mean total variation 0.1024.,0.10241861385666895,0.1024,Mean over 20 prespecified outcome-blind marginal shuffles.,Marginal shuffling can create out-of-distribution feature combinations.,Do not treat the perturbation as a causal or inferential effect.,reports/research_log/major_revision_v3/phase2c_subgroup_proxy_use/jobrole_permutation_summary.csv,8d0af59191a90fe7fd78b14f6055b3f06fbda2b74ac74016b4c78b96d016d5ca,"{""scheme"":""marginal_within_outer_test_fold""}",2,mean_total_variation_mean
C604,C604,retained,phase2c,Department-conditional within-fold JobRole permutation produced mean total variation 0.0529.,0.052912334200205934,0.0529,Mean over 20 prespecified outcome-blind department-conditional shuffles.,Conditioning only on department is not a fully conditional permutation test.,Do not call the difference a causal JobRole contribution.,reports/research_log/major_revision_v3/phase2c_subgroup_proxy_use/jobrole_permutation_summary.csv,8d0af59191a90fe7fd78b14f6055b3f06fbda2b74ac74016b4c78b96d016d5ca,"{""scheme"":""department_conditional_within_outer_test_fold_and_department""}",3,mean_total_variation_mean
C605,C605,retained,phase2c,Department reconstruction accuracy with JobRole in the feature space was 0.9792.,0.9791666666666666,0.9792,Separate nominal multiclass proxy reconstruction diagnostic.,"This measures information in the feature space, not use by the performance model.","Do not infer discrimination, causality, or performance-model dependence.",reports/research_log/major_revision_v3/phase2c_subgroup_proxy_use/department_reconstructability_metrics.csv,e838ea0f0e447df3abc6e6b10af5147db2b65ba955e8eaf92952bb54a6a82b4c,"{""metric"":""accuracy"",""system_id"":""no_salary_hike_no_attrition_no_department""}",2,point_estimate
C606,C606,retained,phase2c,Department reconstruction accuracy without JobRole was 0.2908.,0.2908333333333333,0.2908,Separate nominal multiclass proxy reconstruction diagnostic without JobRole.,"This is a proxy-risk contrast, not a fairness or causal test.",Do not infer absence of residual department information or legal compliance.,reports/research_log/major_revision_v3/phase2c_subgroup_proxy_use/department_reconstructability_metrics.csv,e838ea0f0e447df3abc6e6b10af5147db2b65ba955e8eaf92952bb54a6a82b4c,"{""metric"":""accuracy"",""system_id"":""no_salary_hike_no_attrition_no_department_no_job_role""}",5,point_estimate
C701,C701,retained,phase3a,"Under the retained three-class HRDataset_v14 mapping, raw XGBoost mean macro-F1 was 0.6531.",0.6530863072598907,0.6531,Mean across five prespecified 5×5 nested-CV repetitions on 311 records.,The value is mapping- and dataset-specific and the repetition range is not a confidence interval.,Do not call the result locked external validation or direct INX comparability.,reports/research_log/major_revision_v3/phase3a_hrdataset_sensitivity/variability_summary.csv,1725d5161c414f21fe353fe01cf685cffc59ef5dde1b5253e0bf494b47659cd2,"{""formulation_id"":""primary_three_class"",""metric"":""macro_f1"",""system"":""xgboost_raw""}",35,mean
C702,C702,retained,phase3a,"Under the retained three-class mapping, sigmoid-calibrated XGBoost mean QWK was 0.6044.",0.6043709651015794,0.6044,Mean across five prespecified 5×5 nested-CV repetitions on 311 records.,Sigmoid calibration lowered macro-F1 even while improving this ordinal criterion.,Do not claim that calibration uniformly improved HRDataset_v14 performance.,reports/research_log/major_revision_v3/phase3a_hrdataset_sensitivity/variability_summary.csv,1725d5161c414f21fe353fe01cf685cffc59ef5dde1b5253e0bf494b47659cd2,"{""formulation_id"":""primary_three_class"",""metric"":""quadratic_weighted_kappa"",""system"":""xgboost_sigmoid""}",49,mean
C703,C703,retained,phase3a,The retained mapped HRDataset_v14 class 2 contains 31 records.,31,31,Governed three-class target mapping combining PIP and Needs Improvement.,The mapping is a study estimand and does not establish equivalence with INX labels.,Do not treat mapped classes as validated construct-equivalent outcomes.,reports/research_log/major_revision_v3/phase3b_data_quality/target_distribution.csv,4845da4f51bdd6651e7a54c1aaa279cbe0af1d0dd5fc8d0175bcdaf1cc0a2502,"{""dataset_key"":""hrdataset_v14"",""target_label"":""2"",""target_view"":""canonical_mapped""}",11,count
C801,C801,retained,phase3b,The audited INX table contains 1200 rows.,1200,1200,Exact pinned INX raw-table dimensions in the aggregate quality audit.,"Row count does not establish representativeness, authenticity, or licensing.",Do not infer population coverage or source authority from table size.,reports/research_log/major_revision_v3/phase3b_data_quality/dataset_summary.csv,df7d21a23be7cad851161d821f7ac376c30d5c6e5c8783c45fdee227de148d0b,"{""dataset_key"":""inx_primary""}",2,raw_row_count
C802,C802,retained,phase3b,HRDataset_v14 contains 215 effective missing cells under the declared audit rule.,215,215,Whitespace-aware aggregate missingness audit on the pinned 311×36 raw table.,Most missing termination dates are structurally aligned with non-terminated records.,Do not state that all missingness is error or silently impute source values.,reports/research_log/major_revision_v3/phase3b_data_quality/dataset_summary.csv,df7d21a23be7cad851161d821f7ac376c30d5c6e5c8783c45fdee227de148d0b,"{""dataset_key"":""hrdataset_v14""}",3,effective_missing_cell_count
C803,C803,retained,phase3b,A total of 3 declared HRDataset_v14 data-quality rules had findings.,3,3,Twenty-nine predeclared HRDataset_v14 audit rules.,The count applies to declared rules and is not a complete error census.,Do not claim the dataset is otherwise error-free or invalid.,reports/research_log/major_revision_v3/phase3b_data_quality/dataset_summary.csv,df7d21a23be7cad851161d821f7ac376c30d5c6e5c8783c45fdee227de148d0b,"{""dataset_key"":""hrdataset_v14""}",3,rules_with_findings
C804,C804,retained,phase3b,Those three HRDataset_v14 rules account for 6 recorded anomaly occurrences.,6,6,Two occurrences in each of three declared consistency/temporal rules.,Occurrences can concern distinct rules and were retained without silent source repair.,Do not imply six unique erroneous employees without row-level overlap analysis.,reports/research_log/major_revision_v3/phase3b_data_quality/dataset_summary.csv,df7d21a23be7cad851161d821f7ac376c30d5c6e5c8783c45fdee227de148d0b,"{""dataset_key"":""hrdataset_v14""}",3,summed_rule_anomaly_occurrences
R2E001,,new,round2_selection,Metric leaders changed for 6 of 9 reported metrics.,6,6,Nine model-ranking metrics under macro-F1 and QWK selection.,Leader change is distinct from full-ordering change.,Do not convert this count into a binary materiality verdict.,reports/research_log/major_revision_round2/round2_claim_matrix/DERIVED_SUMMARIES.csv,7b1600988d2f0e9539cf529a23e4c633f44f4f0f2540202e523eb14e96b7ddf5,"{""summary_id"":""selection_leader_changed""}",2,value
R2E002,,new,round2_selection,The full model ordering changed for 9 of 9 reported metrics.,9,9,Nine model-ranking metrics under macro-F1 and QWK selection.,A full-ordering change may be confined to lower ranks.,Do not equate every permutation with material dependence.,reports/research_log/major_revision_round2/round2_claim_matrix/DERIVED_SUMMARIES.csv,7b1600988d2f0e9539cf529a23e4c633f44f4f0f2540202e523eb14e96b7ddf5,"{""summary_id"":""selection_full_ordering_changed""}",3,value
R2E003,,new,round2_selection,The selected candidate changed in 37 of 60 model-by-fold selections.,37,37,Six trained models across ten shared outer folds.,"This count concerns candidate identities, not independent test repetitions.",Do not interpret it as a probability of future selection change.,reports/research_log/major_revision_round2/round2_claim_matrix/DERIVED_SUMMARIES.csv,7b1600988d2f0e9539cf529a23e4c633f44f4f0f2540202e523eb14e96b7ddf5,"{""summary_id"":""selection_candidate_changed""}",4,value
R2E004,,new,round2_selection,"With QWK selection, nominal XGBoost achieved QWK 0.6418.",0.6417784645641638,0.6418,Exactly-once P3 OOF predictions under QWK-based candidate selection.,"Leadership is metric-, regime-, and protocol-specific.",Do not call XGBoost universally best.,reports/research_log/major_revision_round2/selection_objective_sensitivity/metric_effect_magnitudes.csv,a78d36ec202748c8c6ad0c4568fba63f7743f9ca99dcb6c669ae045df1da0938,"{""metric"":""quadratic_weighted_kappa"",""model"":""xgboost""}",17,qwk_selection_value
R2E005,,new,round2_selection,"For cumulative-threshold XGBoost, QWK changed by 0.0769 under QWK rather than macro-F1 selection.",0.07691329767012556,0.0769,Signed within-model OOF score difference between the two selection regimes.,This is a descriptive sensitivity without an uncertainty interval.,Do not call the change statistically significant.,reports/research_log/major_revision_round2/selection_objective_sensitivity/metric_effect_magnitudes.csv,a78d36ec202748c8c6ad0c4568fba63f7743f9ca99dcb6c669ae045df1da0938,"{""metric"":""quadratic_weighted_kappa"",""model"":""cumulative_threshold_xgboost""}",19,qwk_minus_macro_f1_selection
R2E006,,new,round2_extreme_class,"Under canonical macro-F1 selection, Random Forest rating-4 recall was 0.0000.",0.0,0.0000,"Rating-4 class on the 1,200-row P3 exactly-once OOF sample.",Aggregate QWK and MAE remain separate metrics.,Do not imply adequate extreme-class detection from aggregate ordinal scores.,reports/research_log/major_revision_round2/selection_objective_sensitivity/per_class_metrics.csv,7766cd76abb7e1dda22629889f968cacc99d84e91df3c740e8aa0f59eb39a4f7,"{""class_label"":""4"",""dataset_key"":""inx_primary"",""model_name"":""random_forest"",""selection_objective"":""macro_f1""}",16,recall
R2E007,,new,round2_extreme_class,Cumulative-threshold XGBoost rating-4 recall was 0.4167 under macro-F1 selection.,0.4166666666666667,0.4167,"Rating-4 class on the 1,200-row P3 exactly-once OOF sample.",This value is selection-regime specific.,Do not attribute the value to a causal mechanism.,reports/research_log/major_revision_round2/selection_objective_sensitivity/per_class_metrics.csv,7766cd76abb7e1dda22629889f968cacc99d84e91df3c740e8aa0f59eb39a4f7,"{""class_label"":""4"",""dataset_key"":""inx_primary"",""model_name"":""cumulative_threshold_xgboost"",""selection_objective"":""macro_f1""}",4,recall
R2E008,,new,round2_extreme_class,Cumulative-threshold XGBoost rating-4 recall was 0.0000 under QWK selection.,0.0,0.0000,"Rating-4 class on the 1,200-row P3 exactly-once OOF sample.",This value is selection-regime specific.,Do not treat aggregate QWK improvement as uniform classwise improvement.,reports/research_log/major_revision_round2/selection_objective_sensitivity/per_class_metrics.csv,7766cd76abb7e1dda22629889f968cacc99d84e91df3c740e8aa0f59eb39a4f7,"{""class_label"":""4"",""dataset_key"":""inx_primary"",""model_name"":""cumulative_threshold_xgboost"",""selection_objective"":""qwk""}",22,recall
R2E009,,new,round2_probability_baseline,The outer-training empirical-prior baseline had RPS 0.1167.,0.11671853566529493,0.1167,Exactly-once fold-specific empirical-prior probabilities.,Lower RPS is better; this baseline is descriptive.,Do not call this a calibrated deployable model.,reports/research_log/major_revision_round2/selection_objective_sensitivity/empirical_prior_metrics.csv,c2df616438acde3541588e0b40cdd4f37d0bc59fe5bb9a2b57691139c7ad3132,"{""metric"":""ranked_probability_score"",""model"":""outer_training_empirical_prior""}",13,value
R2E010,,new,round2_probability_baseline,The outer-training empirical-prior baseline had log loss 0.7683.,0.7682980081665606,0.7683,Exactly-once fold-specific empirical-prior probabilities.,Lower log loss is better; this baseline is descriptive.,Do not claim statistical superiority without an interval or test.,reports/research_log/major_revision_round2/selection_objective_sensitivity/empirical_prior_metrics.csv,c2df616438acde3541588e0b40cdd4f37d0bc59fe5bb9a2b57691139c7ad3132,"{""metric"":""nll_log_loss"",""model"":""outer_training_empirical_prior""}",10,value
R2E011,,new,round2_timing,"Under the fixed schedule, P3→P4 changed macro-F1 by -0.2094.",-0.2093522509132256,-0.2094,Adjacent policy contrast on the shared INX folds.,Fixed and retuned estimands answer different descriptive questions.,Do not interpret the contrast as causal or timestamp-verified prospective performance.,reports/research_log/major_revision_round2/round2_claim_matrix/DERIVED_SUMMARIES.csv,7b1600988d2f0e9539cf529a23e4c633f44f4f0f2540202e523eb14e96b7ddf5,"{""summary_id"":""p3_p4_fixed_macro_f1_delta""}",8,value
R2E012,,new,round2_timing,"Under independent retuning, P3→P4 changed macro-F1 by -0.1937.",-0.1936734123548972,-0.1937,Adjacent policy contrast on the shared INX folds.,Fixed and retuned estimands answer different descriptive questions.,Do not interpret the contrast as causal or timestamp-verified prospective performance.,reports/research_log/major_revision_round2/round2_claim_matrix/DERIVED_SUMMARIES.csv,7b1600988d2f0e9539cf529a23e4c633f44f4f0f2540202e523eb14e96b7ddf5,"{""summary_id"":""p3_p4_retuned_macro_f1_delta""}",11,value
R2E013,,new,round2_timing,"Under the fixed schedule, P3→P4 changed QWK by -0.3581.",-0.35810351296815993,-0.3581,Adjacent policy contrast on the shared INX folds.,Fixed and retuned estimands answer different descriptive questions.,Do not interpret the contrast as causal or timestamp-verified prospective performance.,reports/research_log/major_revision_round2/round2_claim_matrix/DERIVED_SUMMARIES.csv,7b1600988d2f0e9539cf529a23e4c633f44f4f0f2540202e523eb14e96b7ddf5,"{""summary_id"":""p3_p4_fixed_quadratic_weighted_kappa_delta""}",9,value
R2E014,,new,round2_timing,"Under independent retuning, P3→P4 changed QWK by -0.3308.",-0.3307990250438372,-0.3308,Adjacent policy contrast on the shared INX folds.,Fixed and retuned estimands answer different descriptive questions.,Do not interpret the contrast as causal or timestamp-verified prospective performance.,reports/research_log/major_revision_round2/round2_claim_matrix/DERIVED_SUMMARIES.csv,7b1600988d2f0e9539cf529a23e4c633f44f4f0f2540202e523eb14e96b7ddf5,"{""summary_id"":""p3_p4_retuned_quadratic_weighted_kappa_delta""}",12,value
R2E015,,new,round2_timing,"Under the fixed schedule, P4→P5 changed QWK by -0.1150.",-0.11498912044116460,-0.1150,Adjacent policy contrast on the shared INX folds.,Fixed and retuned estimands answer different descriptive questions.,Do not interpret the contrast as causal or timestamp-verified prospective performance.,reports/research_log/major_revision_round2/round2_claim_matrix/DERIVED_SUMMARIES.csv,7b1600988d2f0e9539cf529a23e4c633f44f4f0f2540202e523eb14e96b7ddf5,"{""summary_id"":""p4_p5_fixed_quadratic_weighted_kappa_delta""}",15,value
R2E016,,new,round2_timing,"Under independent retuning, P4→P5 changed QWK by -0.1767.",-0.17668572729746735,-0.1767,Adjacent policy contrast on the shared INX folds.,Fixed and retuned estimands answer different descriptive questions.,Do not interpret the contrast as causal or timestamp-verified prospective performance.,reports/research_log/major_revision_round2/round2_claim_matrix/DERIVED_SUMMARIES.csv,7b1600988d2f0e9539cf529a23e4c633f44f4f0f2540202e523eb14e96b7ddf5,"{""summary_id"":""p4_p5_retuned_quadratic_weighted_kappa_delta""}",18,value
R2E017,,new,round2_timing,Retuned macro-F1 for Information-Rich Diagnostic was 0.8943.,0.8942738716737378,0.8943,Policy-specific retuning on the shared INX folds.,The label is manuscript-facing; timestamps remain unavailable.,Do not describe P4/P5 as prospective validation.,reports/research_log/major_revision_v3/phase1d_policy_retuning/headline_policy_comparison.csv,3ea78efa8b710759c1db2fa53e782b0144951ac927f3c86f0e18871b3c3e95e4,"{""policy_id"":""P0""}",2,retuned_macro_f1
R2E018,,new,round2_timing,Retuned macro-F1 for Primary Leakage-Aware was 0.6210.,0.6210211647446707,0.6210,Policy-specific retuning on the shared INX folds.,The label is manuscript-facing; timestamps remain unavailable.,Do not describe P4/P5 as prospective validation.,reports/research_log/major_revision_v3/phase1d_policy_retuning/headline_policy_comparison.csv,3ea78efa8b710759c1db2fa53e782b0144951ac927f3c86f0e18871b3c3e95e4,"{""policy_id"":""P3""}",5,retuned_macro_f1
R2E019,,new,round2_timing,Retuned macro-F1 for Prospective-Plausibility was 0.4273.,0.4273477523897735,0.4273,Policy-specific retuning on the shared INX folds.,The label is manuscript-facing; timestamps remain unavailable.,Do not describe P4/P5 as prospective validation.,reports/research_log/major_revision_v3/phase1d_policy_retuning/headline_policy_comparison.csv,3ea78efa8b710759c1db2fa53e782b0144951ac927f3c86f0e18871b3c3e95e4,"{""policy_id"":""P4""}",6,retuned_macro_f1
R2E020,,new,round2_timing,Retuned macro-F1 for Strict Proxy-Reduced Prospective-Plausibility was 0.3547.,0.3546512484092715,0.3547,Policy-specific retuning on the shared INX folds.,The label is manuscript-facing; timestamps remain unavailable.,Do not describe P4/P5 as prospective validation.,reports/research_log/major_revision_v3/phase1d_policy_retuning/headline_policy_comparison.csv,3ea78efa8b710759c1db2fa53e782b0144951ac927f3c86f0e18871b3c3e95e4,"{""policy_id"":""P5""}",7,retuned_macro_f1
R2E101,,new,round2_subgroup,"For Age, the P3 macro-F1 maximum-minus-minimum gap was 0.0301.",0.0300952607810995,0.0301,"Groups meeting the declared n≥30 support rule, with endpoints retained in the source row.",This is a descriptive support-dependent gap with exploratory intervals.,"Do not infer fairness, discrimination, or legal compliance.",reports/research_log/major_revision_round2/SUBGROUP_MANUSCRIPT_SUMMARY.csv,42b27483275e7de1f183b898764c9b6227670ab75d417d708025b1aec89d36c9,"{""attribute"":""Age"",""metric"":""macro_f1"",""policy_id"":""P3""}",2,gap_max_minus_min
