record_type,path,file_count,oldest_utc,newest_utc,modified_utc,size_bytes,sha256,snapshot_sha256,compatibility_status,notes
file,reports/counterfactuals/final_candidates/actionability_summary.csv,,,,2026-06-05T16:09:52Z,,eb4967f0aafb58f487a883daf1c8c122072c4f3e6a1bbb11d1b18b05e5e96121,,incompatible_protocol,"Rates use four eligible representative cases."
root_snapshot,reports/manuscript_final/manuscript_final_20260712T181754Z_c664ef152ff3,215,2026-06-24T13:28:08Z,2026-07-12T18:37:59Z,,166264643,,f0823a3847d5ed1c80ff70c4966c6921b9a53274c54640f4a41f9f5d841369db,canonical_complete,"Authoritative versioned package; 212-file final evidence manifest verified and 214 outputs registered."
file,reports/manuscript_final/manuscript_final_20260712T181754Z_c664ef152ff3/run_manifest.json,,,,2026-07-12T18:37:59Z,120853,dd44e45986f112b3d633d512ab6eb83cee25d195bb39604447b3c5931a0a6cf6,,canonical_complete,"Run/config/data/source/package/seed/command/output provenance; status complete."
file,reports/manuscript_final/manuscript_final_20260712T181754Z_c664ef152ff3/final_evidence_manifest.json,,,,2026-07-12T18:37:58Z,87040,f0823a3847d5ed1c80ff70c4966c6921b9a53274c54640f4a41f9f5d841369db,,canonical_complete,"All 212 referenced package files verified after generation and again through latest."
file,reports/manuscript_final/manuscript_final_20260712T181754Z_c664ef152ff3/package_status.json,,,,2026-07-12T18:37:53Z,1649,4cbf24823d027189541e7617b291a6bf95b2a5a7cb0f53188efbfa1207e7fa67,,canonical_complete,"All ten canonical stages complete; paid_api_calls_in_canonical_run=0."
file,reports/manuscript_final/manuscript_final_20260712T175019Z_c664ef152ff3/run_manifest.json,,,,2026-07-12T17:50:52Z,20182,929ca4349fc4f5113983409defc4c085666ca619d7a75e68ec8800817a9c7edd,,failed_not_admitted,"Preserved first failed attempt; SHAP raw-family order assumption."
file,reports/manuscript_final/manuscript_final_20260712T175251Z_c664ef152ff3/run_manifest.json,,,,2026-07-12T18:12:47Z,89863,5238889d825c0df9cff6376e4e49de7966db32b4bdbdeb8d89bdad8b2de1c300,,failed_not_admitted,"Preserved second failed attempt; representative-case identity and external schema integration gate."
file,reports/research_log/manuscript_remediation/09_final_completion_report.md,,,,2026-07-12T18:41:36Z,8011,9d3be6778c8ed9d5bd3ed5f12c7371c86d64975dde710a4a232b77e83775aa04,,canonical_completion_report,"Author-facing resolved/unresolved/claims/tests/API accounting handoff; manuscript itself unchanged."
file,reports/calibration/final_candidates/calibration_summary.csv,,,,2026-06-05T16:08:56Z,,850874d0b98833e0b83d4003608760721e6184cc4ddb73b352eee3f0b46548b4,,historical_unbound,"No canonical run/config provenance."
file,reports/llm_explanations/eval_case_manifest.csv,,,,2026-06-24T13:39:29Z,,b3f042fef06cb5fe203ecbfa0f71abdde68f752b28c08822b1a2f640b959c143,,incomplete_case_evidence,"30 of 40 INX rows report partial_missing_local_shap."
file,reports/llm_explanations/llm_usage_log.csv,,,,2026-07-12T14:21:14Z,173609,ece79e016dc8745d8d1d2862d4c05c81f2c4b09913540cc55285fe7d3b904a7e,,unapproved_api_test_side_effect,"Preserved 24 unapproved 2026-07-12 calls; excluded from scientific evidence."
file,README.md,,,,2026-07-12T19:11:13Z,13925,0d237d892e7603ba97a75eeb3cd7823134bcd2a9ccf562ad5a351adc34507913,,canonical_handoff_documentation,"Canonical evidence map and reviewer entry point; points to run-local authoritative artifacts and records publication-size and claim boundaries."
