claim_id,component,proposed_claim,exact_value,display_value,evidence_scope,mandatory_qualifier,prohibited_overclaim,source_path,source_sha256
C502,phase2b,"Top-label ECE changed by +0.0044 after sigmoid calibration, indicating a worse point estimate on that metric.",0.004391238853665921,0.0044,Sigmoid-minus-raw top-label ECE difference using ten fixed bins.,The paired interval spans zero and ECE is bin-dependent.,Do not state that every calibration metric improved.,reports/research_log/major_revision_v3/phase2b_calibration_diagnostics/method_comparison.csv,bac8344ec08129d92a38ffe5c968da576b57fe8bac48aa0f7b50e052e4f3bbb3
C601,phase2c,Removing JobRole and refitting changed the argmax prediction for 10.75% of cases.,0.1075,10.75,Exact paired OOF comparison of P3 and P3 refitted without JobRole.,The comparison combines feature removal with refitting and is not the broader P5 policy.,Do not describe the change rate as a causal JobRole effect.,reports/research_log/major_revision_v3/phase2c_subgroup_proxy_use/proxy_prediction_change_by_department.csv,79ba56a192c8baccd5098ea37bfc1ab3e7d64f02276fe710df458df068d5963f
C602,phase2c,The proxy-reduced-minus-primary macro-F1 difference was -0.0330.,-0.032993574605103104,-0.0330,"Exact paired OOF P3-minus-JobRole refit comparison on 1,200 cases.",The point difference is descriptive and combines removal with model refitting.,"Do not infer discrimination, causality, or significance.",reports/research_log/major_revision_v3/phase2c_subgroup_proxy_use/proxy_prediction_change_by_department.csv,79ba56a192c8baccd5098ea37bfc1ab3e7d64f02276fe710df458df068d5963f
C603,phase2c,Marginal within-fold JobRole permutation produced mean total variation 0.1024.,0.10241861385666895,0.1024,Mean over 20 prespecified outcome-blind marginal shuffles.,Marginal shuffling can create out-of-distribution feature combinations.,Do not treat the perturbation as a causal or inferential effect.,reports/research_log/major_revision_v3/phase2c_subgroup_proxy_use/jobrole_permutation_summary.csv,8d0af59191a90fe7fd78b14f6055b3f06fbda2b74ac74016b4c78b96d016d5ca
C604,phase2c,Department-conditional within-fold JobRole permutation produced mean total variation 0.0529.,0.052912334200205934,0.0529,Mean over 20 prespecified outcome-blind department-conditional shuffles.,Conditioning only on department is not a fully conditional permutation test.,Do not call the difference a causal JobRole contribution.,reports/research_log/major_revision_v3/phase2c_subgroup_proxy_use/jobrole_permutation_summary.csv,8d0af59191a90fe7fd78b14f6055b3f06fbda2b74ac74016b4c78b96d016d5ca
C605,phase2c,Department reconstruction accuracy with JobRole in the feature space was 0.9792.,0.9791666666666666,0.9792,Separate nominal multiclass proxy reconstruction diagnostic.,"This measures information in the feature space, not use by the performance model.","Do not infer discrimination, causality, or performance-model dependence.",reports/research_log/major_revision_v3/phase2c_subgroup_proxy_use/department_reconstructability_metrics.csv,e838ea0f0e447df3abc6e6b10af5147db2b65ba955e8eaf92952bb54a6a82b4c
C606,phase2c,Department reconstruction accuracy without JobRole was 0.2908.,0.2908333333333333,0.2908,Separate nominal multiclass proxy reconstruction diagnostic without JobRole.,"This is a proxy-risk contrast, not a fairness or causal test.",Do not infer absence of residual department information or legal compliance.,reports/research_log/major_revision_v3/phase2c_subgroup_proxy_use/department_reconstructability_metrics.csv,e838ea0f0e447df3abc6e6b10af5147db2b65ba955e8eaf92952bb54a6a82b4c
C701,phase3a,"Under the retained three-class HRDataset_v14 mapping, raw XGBoost mean macro-F1 was 0.6531.",0.6530863072598907,0.6531,Mean across five prespecified 5×5 nested-CV repetitions on 311 records.,The value is mapping- and dataset-specific and the repetition range is not a confidence interval.,Do not call the result locked external validation or direct INX comparability.,reports/research_log/major_revision_v3/phase3a_hrdataset_sensitivity/variability_summary.csv,1725d5161c414f21fe353fe01cf685cffc59ef5dde1b5253e0bf494b47659cd2
C702,phase3a,"Under the retained three-class mapping, sigmoid-calibrated XGBoost mean QWK was 0.6044.",0.6043709651015794,0.6044,Mean across five prespecified 5×5 nested-CV repetitions on 311 records.,Sigmoid calibration lowered macro-F1 even while improving this ordinal criterion.,Do not claim that calibration uniformly improved HRDataset_v14 performance.,reports/research_log/major_revision_v3/phase3a_hrdataset_sensitivity/variability_summary.csv,1725d5161c414f21fe353fe01cf685cffc59ef5dde1b5253e0bf494b47659cd2
C703,phase3a,The retained mapped HRDataset_v14 class 2 contains 31 records.,31,31,Governed three-class target mapping combining PIP and Needs Improvement.,The mapping is a study estimand and does not establish equivalence with INX labels.,Do not treat mapped classes as validated construct-equivalent outcomes.,reports/research_log/major_revision_v3/phase3b_data_quality/target_distribution.csv,4845da4f51bdd6651e7a54c1aaa279cbe0af1d0dd5fc8d0175bcdaf1cc0a2502
C801,phase3b,The audited INX table contains 1200 rows.,1200,1200,Exact pinned INX raw-table dimensions in the aggregate quality audit.,"Row count does not establish representativeness, authenticity, or licensing.",Do not infer population coverage or source authority from table size.,reports/research_log/major_revision_v3/phase3b_data_quality/dataset_summary.csv,df7d21a23be7cad851161d821f7ac376c30d5c6e5c8783c45fdee227de148d0b
C802,phase3b,HRDataset_v14 contains 215 effective missing cells under the declared audit rule.,215,215,Whitespace-aware aggregate missingness audit on the pinned 311×36 raw table.,Most missing termination dates are structurally aligned with non-terminated records.,Do not state that all missingness is error or silently impute source values.,reports/research_log/major_revision_v3/phase3b_data_quality/dataset_summary.csv,df7d21a23be7cad851161d821f7ac376c30d5c6e5c8783c45fdee227de148d0b
C803,phase3b,A total of 3 declared HRDataset_v14 data-quality rules had findings.,3,3,Twenty-nine predeclared HRDataset_v14 audit rules.,The count applies to declared rules and is not a complete error census.,Do not claim the dataset is otherwise error-free or invalid.,reports/research_log/major_revision_v3/phase3b_data_quality/dataset_summary.csv,df7d21a23be7cad851161d821f7ac376c30d5c6e5c8783c45fdee227de148d0b
C804,phase3b,Those three HRDataset_v14 rules account for 6 recorded anomaly occurrences.,6,6,Two occurrences in each of three declared consistency/temporal rules.,Occurrences can concern distinct rules and were retained without silent source repair.,Do not imply six unique erroneous employees without row-level overlap analysis.,reports/research_log/major_revision_v3/phase3b_data_quality/dataset_summary.csv,df7d21a23be7cad851161d821f7ac376c30d5c6e5c8783c45fdee227de148d0b
