evidence_id,category,path,file_type,manuscript_grade_status,run_scope,real_llm_used,claim_role,row_count,sha256,required_for_package,notes
gxair_dashboard_csv,readiness,reports/governance_reports/gxair_component_dashboard.csv,csv,primary_manuscript_grade,final_80_real_openai_inx_primary_hrdataset_v14,True,readiness interpretation and deployment-blocker evidence,10,b1996927d72dd242ff389ac46413c8b7009f05c0b3bce8f104a098de9e675695,True,Component readiness dashboard.
gxair_dashboard_md,readiness,reports/governance_reports/gxair_component_dashboard.md,markdown,primary_manuscript_grade,final_80_real_openai_inx_primary_hrdataset_v14,True,readiness interpretation and deployment-blocker evidence,,47e46198e73d06ce3b65412dca728e842a69c1742f3508a65de7f3a73d13a8d4,True,Markdown component readiness dashboard.
final_readiness_report,readiness,reports/governance_reports/final_governance_readiness_report.md,markdown,primary_manuscript_grade,final_80_real_openai_inx_primary_hrdataset_v14,True,readiness interpretation and deployment-blocker evidence,,93130cf706ede8e90ad88213de46a393b9a5f98c49dd31e93e6d1caa1f38828e,True,Final readiness report explaining not_ready status.
statistical_uncertainty_summary,statistical_reliability,reports/statistical_reliability/uncertainty_summary.md,markdown,supporting_manuscript_grade,final_80_real_openai_inx_primary_hrdataset_v14,,supports final 80-case manuscript-grade technical evidence,,7134c73a638ce7efb7ec3dbc31a38b05348d8e694d0db94d0dd517f789928612,False,Statistical reliability and uncertainty summary.
llm_guardrail_ci,statistical_reliability,reports/statistical_reliability/llm_guardrail_ci.csv,csv,supporting_manuscript_grade,final_80_real_openai_inx_primary_hrdataset_v14,,supports final 80-case manuscript-grade technical evidence,4,73eb31fc7770e78ebe3ee7afb01f12f325782cf79dc34682b2477ed85ca0e609,False,Binomial CI estimates for final real LLM and guardrail checks.
external_validation_summary,external_validation,reports/external_validation/external_validation_summary.md,markdown,supporting_manuscript_grade,final_80_real_openai_inx_primary_hrdataset_v14,,supports external validation and related-task claim boundaries,,c61d574ccc45c23f9115b4aeb70bb767ae3ba8748c63c608b14bf3a24a9b1186,False,External validation and related-task robustness summary with claim boundaries.
external_validation_tables,external_validation,reports/manuscript_assets/external_validation_tables.md,markdown,supporting_manuscript_grade,final_80_real_openai_inx_primary_hrdataset_v14,,supports external validation and related-task claim boundaries,,60eddbd7489a872fd102c057e119ccb96e8a4a907cf93ec0c7ce480f87b00945,False,Manuscript-support external validation tables.
external_governance_summary,external_validation,reports/governance_reports/external_validation_governance_summary.md,markdown,supporting_manuscript_grade,final_80_real_openai_inx_primary_hrdataset_v14,,supports external validation and related-task claim boundaries,,171a9cb775b7b6487458df93801e498deb852feb6303213ab4d942bbcacc6652,False,Governance interpretation for external validation.
model_card,governance_documentation,reports/model_card/hr_xai_model_card.md,markdown,supporting_manuscript_grade,final_80_real_openai_inx_primary_hrdataset_v14,,supports final 80-case manuscript-grade technical evidence,,36c6761b44bd04c08c2e716d2aa80f7e91954930f2709c2a2de47eac53e65f07,True,Updated model card with final real LLM scope and limitations.
decision_log,research_traceability,RESEARCH_DECISION_LOG.md,markdown,supporting_traceability,final_80_real_openai_inx_primary_hrdataset_v14,,supports final 80-case manuscript-grade technical evidence,,894464ee815f9d0ae3fb88f3683c54415d48866159b94e7083f05126f9225585,True,Research decision log documenting final real run and claim boundaries.
handoff,research_traceability,PROJECT_CONTINUATION_HANDOFF.md,markdown,supporting_traceability,final_80_real_openai_inx_primary_hrdataset_v14,,supports final 80-case manuscript-grade technical evidence,,210fcbcc0f892f9453926731a73bdf71516fa98aed97a75a365e28a3b5c6642d,False,Continuation handoff documenting final evidence status.
run_registry,research_traceability,reports/research_log/run_registry.csv,csv,supporting_traceability,final_80_real_openai_inx_primary_hrdataset_v14,,supports final 80-case manuscript-grade technical evidence,33,6e68a344783bb3d679926748061fce80773779b472605504b87ce59dfbb920ce,False,Run registry for reproducibility.
llm_usage_log,cost_accounting,reports/llm_explanations/llm_usage_log.csv,csv,supporting_traceability,final_80_real_openai_inx_primary_hrdataset_v14,,supports final 80-case manuscript-grade technical evidence,668,75d409e5aa52f45347f93666d26d1b508330ec75d1daed6d14b71483b0dcd702,False,OpenAI usage/cost log. Provider billing dashboard remains source of truth.
dry_run_config,excluded_stub_dry_run,configs/llm_agent_eval.yaml,json,excluded_not_manuscript_grade,excluded_stub_dry_run,,excluded; do not cite as real LLM evidence,,c76fce890e574cdfcd94517804b110f7da9e85b15f228610bd6c8adb06f83e70,False,Default dry-run config retained for reproducibility; not real LLM evidence.
offline_stub_client,excluded_stub_dry_run,src/llm/offline_stub_llm.py,python,excluded_not_manuscript_grade,excluded_stub_dry_run,,excluded; do not cite as real LLM evidence,,6c5e2a6936df2bb7dbf456ee2568d39343bee13c89965e63f0d30441dc760fae,False,Offline stub implementation for tests/dry-runs only.
pilot_40_summary,pilot_quality_control,reports/llm_explanations/openai_pilot_40/llm_agent_eval_summary.csv,csv,pilot_not_final_manuscript_evidence,pilot_quality_control,,pilot quality-control evidence; not final 80-case result,1,ca23638daa3c4ae819e2b960de69c5a6378bc49cca55a0ba7bde0bf324738ad1,False,Real 40-case pilot used as staged quality control before final run.
